名言,作者,类别
你若想要得到，就别只是期望。人生短暂，经不起等待。IfyouwantsomethingdontwishforitLifeistooshorttowait,,
Thereisalwaysthatonepersonwhocansendyouatextandcauseyoutosmileinstantly总有那么有一个人，他的一条短信就可以让你立刻微笑。,,
天之此端为天涯，海之彼端为海角，thesensationoftheseaforcape,,
Whenyourheartisgettingexhaustedtoacertainextentyouaretooweaktoanger心累到一定的程度，连生气和计较的力气都没有了,,
Whenyoucantrememberwhyyourehurt，thatswhenyourehealed有一天，当你发现再也记不起为了什么而受伤，那就是痊愈之时。,,
CanIholdyourhandNoButwhyBecauseitllhurtwhenyouletgo我可以牵你的手么不可以，给个理由先，因为，有天你一旦放手，它们就会受伤。,,
从今天开始，每天微笑吧，世上除了生死，都是小事，everysmile，theworldinadditiontothedead，areistoosmall,,
如果我放弃了，不是因为我输了，而是因为我懂了，notbecauseIlost，butbecauseIunderstand,,
回忆本来是非常美好的，只要你能让过去的都过去thavetodealwiththepast,,
IwouldratherlovesomeoneIcanthavethanhavesomeoneIcantLove我宁愿爱上一个我不能拥有的人，也不想拥有一个我无法爱上的人。,,
与其用泪水悔恨今天，不如用汗水拼搏今天sbettertostrivefortodaywithsweatthanregrettodayintreas,,
无论过去发生过什么，你要相信，最好的尚未到来thebestisalwaysyettocome,,
你若将过去抱的太紧，怎么能腾出手来拥抱现在Ifyouholdthepasttootighthowcanyouuseanotherhandtoholdthepresent,,
Babyaslongaswekeepeachotherinourheartourloveforeachotherwillneverapart只要我们将彼此放在心中，我们的爱就永不分离。,,
你改变不了昨天，但如果你过于忧虑明天，将会毁了今天tchangethepast，butyoucanruinthepresentbyworryingaboutthefuture,,
ImissyouAlittletoomuch，alittletoooften，andalittlemoreeveryday我想你，有一点点深，有一点点频繁，还一天比一天更浓。,,
